ISBN Number,Name of the Book,Subject,Author,Publication,Image Link
9780131103627,The C Programming Language,Computer Science,Brian W. Kernighan,Prentice Hall,https://images.isbndb.com/covers/36/27/9780131103627.jpg
9780262033848,Introduction to Algorithms,Computer Science,Thomas H. Cormen,MIT Press,https://images.isbndb.com/covers/38/48/9780262033848.jpg
9780201633610,Design Patterns,Software Engineering,Erich Gamma,Addison-Wesley,https://images.isbndb.com/covers/36/10/9780201633610.jpg
9781292401133,Artificial Intelligence: A Modern Approach,AI & Robotics,"Stuart Russell, Peter Norvig",Pearson,https://images.isbndb.com/covers/11/33/9781292401133.jpg
9789353948450,Organic Chemistry,Chemistry,Paula Yurkanis Bruice,Pearson,https://images.isbndb.com/covers/84/50/9789353948450.jpg
9781119142287,Principles of Genetics,Genetics,D. Peter Snustad,Wiley,https://images.isbndb.com/covers/22/87/9781119142287.jpg
9780306447907,The Principles of Quantum Mechanics,Physics,R. Shankar,Cambridge University Press,https://images.isbndb.com/covers/79/07/9780306447907.jpg
9780132350884,Clean Code,Software Engineering,Robert C. Martin,Prentice Hall,https://images.isbndb.com/covers/08/84/9780132350884.jpg
9781449355739,Learning Python,Programming,Mark Lutz,O'Reilly Media,https://images.isbndb.com/covers/57/39/9781449355739.jpg
9781009397759,Introduction to Electrodynamics,Physics,David J. Griffiths,Cambridge University Press,https://images.isbndb.com/covers/77/59/9781009397759.jpg
9780138008475,Microeconomics: Theory and Applications,Economics,Jeffrey M. Perloff,Pearson,https://images.isbndb.com/covers/84/75/9780138008475.jpg
9781492041139,Data Science from Scratch,Data Science,Joel Grus,O'Reilly Media,https://images.isbndb.com/covers/11/39/9781492041139.jpg
9781544384559,Theories of Counseling and Psychotherapy,Psychology,Elsie Jones-Smith,Sage Publications,https://images.isbndb.com/covers/45/59/9781544384559.jpg
9781464126109,Biochemistry,Biochemistry,Jeremy M. Berg,W.H. Freeman,https://images.isbndb.com/covers/61/09/9781464126109.jpg
9780815344322,Molecular Biology of the Cell,Biology,Bruce Alberts,Garland Science,https://images.isbndb.com/covers/43/22/9780815344322.jpg
9780521424264,Computational Complexity: A Modern Approach,Computer Science,Sanjeev Arora,MIT Press,https://images.isbndb.com/covers/42/64/9780521424264.jpg
9781319244941,Economics,Economics,Paul Krugman,Worth Pub,https://images.isbndb.com/covers/49/41/9781319244941.jpg
9781266152115,Thermodynamics: An Engineering Approach,Engineering,Yunus A. Cengel,McGraw-Hill Education,https://images.isbndb.com/covers/21/15/9781266152115.jpg
9780198769866,Physical Chemistry,Chemistry,Peter Atkins,Oxford University Press,https://images.isbndb.com/covers/98/66/9780198769866.jpg
9780123944245,Digital Design and Computer Architecture,Computer Engineering,"David Harris, Sarah Harris",Morgan Kaufmann,https://images.isbndb.com/covers/42/45/9780123944245.jpg
9780465026562,"Godel, Escher, Bach: An Eternal Golden Braid",Philosophy,Douglas Hofstadter,Basic Books,https://images.isbndb.com/covers/65/62/9780465026562.jpg
9780134686998,Introduction to Mathematical Statistics,Statistics,Robert V. Hogg,Pearson,https://images.isbndb.com/covers/69/98/9780134686998.jpg
9780073529578,Engineering Circuit Analysis,Electrical Engineering,William H. Hayt,McGraw-Hill Education,https://images.isbndb.com/covers/95/78/9780073529578.jpg
9788174091734,Electrical Machinery,Electrical Engineering,P.S. Bhimbra,Khanna Publishers,https://images.isbndb.com/covers/17/34/9788174091734.jpg
9781265058432,Java: The Complete Reference,Programming,Herbert Schildt,McGraw-Hill Education,https://images.isbndb.com/covers/84/32/9781265058432.jpg
9781292374062,Computer Networks,Networking,Andrew S. Tanenbaum,Prentice Hall,https://images.isbndb.com/covers/40/62/9781292374062.jpg
9781492050049,Learning Spark,Data Science,Jules S. Damji,O'Reilly Media,https://images.isbndb.com/covers/00/49/9781492050049.jpg
9781098118952,Data Science on the Google Cloud Platform,Cloud Computing,Valliappa Lakshmanan,O'Reilly Media,https://images.isbndb.com/covers/89/52/9781098118952.jpg
9781098121228,Python Data Science Handbook,Data Science,Jake VanderPlas,O'Reilly Media,https://images.isbndb.com/covers/12/28/9781098121228.jpg
9781292315034,Statistics for Business and Economics,Business,Paul Newbold,Pearson,https://images.isbndb.com/covers/50/34/9781292315034.jpg
9780133943030,Software Engineering,Software Engineering,Ian Sommerville,Pearson,https://images.isbndb.com/covers/30/30/9780133943030.jpg
9780134670959,Operating Systems: Internals and Design Principles,Operating Systems,William Stallings,Pearson,https://images.isbndb.com/covers/09/59/9780134670959.jpg
9780201006506,The Mythical Man-Month,Software Engineering,Frederick P. Brooks Jr.,Addison-Wesley,https://images.isbndb.com/covers/65/06/9780201006506.jpg
9781266103148,Global Business Today,Global Business,Charles W.L. Hill,McGraw-Hill Education,https://images.isbndb.com/covers/31/48/9781266103148.jpg
9781107189638,Introduction to Quantum Mechanics,Physics,David J. Griffiths,Cambridge University Press,https://images.isbndb.com/covers/96/38/9781107189638.jpg
9781118918401,Fundamentals of Biochemistry,Biochemistry,Donald Voet,Wiley,https://images.isbndb.com/covers/84/01/9781118918401.jpg
9780815346050,Principles of Neurobiology,Neurobiology,Liqun Luo,Garland Science,https://images.isbndb.com/covers/60/50/9780815346050.jpg
9781305079373,General Chemistry,Chemistry,William L. Masterton,Cengage Learning,https://images.isbndb.com/covers/93/73/9781305079373.jpg
9780134605197,Human Physiology,Physiology,Dee Unglaub Silverthorn,Pearson,https://images.isbndb.com/covers/51/97/9780134605197.jpg
9780198503460,Organic Chemistry,Chemistry,Jonathan Clayden,Oxford University Press,https://images.isbndb.com/covers/34/60/9780198503460.jpg
9780262035613,Deep Learning,Machine Learning,Ian Goodfellow,The MIT Press,https://images.isbndb.com/covers/56/13/9780262035613.jpg
9780198794141,Introduction to Bioinformatics,Bioinformatics,Arthur M. Lesk,Oxford University Press,https://images.isbndb.com/covers/41/41/9780198794141.jpg
9780323673228,Medical Microbiology,Microbiology,Patrick R. Murray,Elsevier,https://images.isbndb.com/covers/32/28/9780323673228.jpg
9781009258197,Artificial Intelligence: Foundations of Computational Agents,Artificial Intelligence,David L. Poole,Cambridge University Press,https://images.isbndb.com/covers/81/97/9781009258197.jpg
9780133387520,"Cloud Computing: Concepts, Technology & Architecture",Programming,Thomas Erl,Pearson,https://images.isbndb.com/covers/75/20/9780133387520.jpg
9789081540636,Distributed Systems,Distributed Systems,Andrew S. Tanenbaum,Maarten van Steen,https://images.isbndb.com/covers/06/36/9789081540636.jpg
